ZCTA,Corresponding Counties,Total Estimated Population,2010 Child Population Estimate (Under 18),2011 Child Population Estimate (Under 18),2012 Child Population Estimate (Under 18),2013 Child Population Estimate (Under 18),2014 Child Population Estimate (Under 18),2010 - 2014 Aggregated Child Population Estimate (under 18),2010 Child Population Estimate (5 and Under),2011 Child Population Estimate (5 and Under),2012 Child Population Estimate (5 and Under),2013 Child Population Estimate (5 and Under),2014 Child Population Estimate (5 and Under)-Please calculate a mean estimate for 2014,2010 - 2014 Aggregated Child Population Estimate (5 and Under)-Estimate the pop mean average for 2010-2014,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Estimated Households,"Estimated Family Households with Female Householder,No Husband Present, Children < 18",Total Estimated Child Population Under 18,Total Children in Poverty Under 18,Rate of Child Poverty Under 18,Total Poverty for Children under 3,poverty children 4 and 5,Poverty 5 years,Total Estimated Children 5 and Under,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Children 5 and under in poverty,Rate of Child Poverty 5 and Under,Column172,Birth and Married,No Birth and Married,Birth and Unmarried,No Birth and Unmarried,Number of Teen Births (15-19yrs),Total Female Population (15-19yrs),Weighted Teen Birth (999 as no data),Rate of Teen Birth(15-19yrs),Column1,Zipcode,Unique Clients Admitted for Substance Abuse Treatment (*=supressed),Number of state funded substance abuse service types utilized within a zip code,Drug- Related Offenses,Family Violence Offenses (2014),Rate of Substane Abuse Treatments,Child Abuse and Neglect Related Fatalities (2010-2014),5yr. Aggregated Child Population Estimate (2010 - 2014),Rate of Child Abuse and Neglect Related Fatalities (Under 18),Total Substantiated Child Abuse Cases (Under age 18),5yr. Aggregated Child Population Estimate (under 18) 2010 - 2014,Rate of Substantiated Child Abuse Cases (Under age 18),Total Substantiated Child Abuse Cases (5 and Under),Rate of Substantiated Child Abuse Cases (5 and Under),Poverty Ranking for Children < 18,Poverty Ranking for Children < 5,Teen Birth Ranking (15-19yrs),Substance Abuse Ranking,Child Abuse and Neglect Related Fatalities Ranking,Substantiated Child Abuse Ranking < 18,Substantiated Child Abuse Ranking < 6,Mean of Rankings (all),Final Risk Ranking,geometry
75001,Dallas County,13214,1781,2219,2254,2055,2131,2088,744,1170,1066,911,1019,982,9542,6703,1728,33,960,18,0,100,3672,2751,20,47,38,0,693,123,7379,355,2254,721,32.00%,505,444,117,1066,186,0,36,60,46,39,171,15,114,43,0,11,372,35.00%,ZCTA5 75001,N/A,N/A,N/A,N/A,N/A,N/A,999,0,ZCTA5 75001,75001,0,0,,,0,0,2088,0,70,2088,0.033524334,50,0.05091401,1376,1244,0,226.5,651.5,593,733,804,784,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.821879,32.954402,0.0 -96.828477,32.947254,0.0 -96.855971,32.933507,0.0 -96.855971,32.953302,0.0 -96.838925,32.987394,0.0 -96.828477,32.987394,0.0 -96.821879,32.954402,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
75002,Collin County,65900,20011,20254,20201,20986,20470,20384,4757,6186,6149,5996,5942,5806,57469,42726,7657,189,5224,124,101,1448,8431,5915,184,0,72,0,1552,708,21340,1496,20201,1459,7.20%,2837,2187,1125,6149,153,18,287,232,0,141,254,123,105,76,0,70,548,9.00%,ZCTA5 75002,0,22,0,2496,0,2518,0,0.00%,ZCTA5 75002,75002,*,3,,,0.115384615,0,20384,0,509,20384,0.024970061,250,0.043058294,368,440,425.5,455,651.5,454,639,490.4285714,258,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.636023,33.034133,0.0 -96.683861,33.080872,0.0 -96.658567,33.129811,0.0 -96.540345,33.127611,0.0 -96.533197,33.096818,0.0 -96.594782,33.030834,0.0 -96.636023,33.034133,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
75006,Dallas County,47590,12135,12010,12057,12376,12185,12153,3464,4047,4082,4417,4101,4022,25046,17616,3341,133,3546,0,80,330,22544,17971,156,214,49,0,3769,385,17075,1257,12057,2895,24.00%,2210,1094,778,4082,344,17,519,286,144,158,461,72,433,228,87,146,894,22.00%,ZCTA5 75006,N/A,N/A,N/A,N/A,N/A,N/A,999,0,ZCTA5 75006,75006,10,5,,,0.192307692,0,12153,0,548,12153,0.045093098,306,0.076076018,1079,839,0,753,651.5,950,1154,904.4166667,987,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.935152,32.936806,0.0 -96.94175,32.988494,0.0 -96.939001,32.988494,0.0 -96.854871,32.987394,0.0 -96.838925,32.987394,0.0 -96.855971,32.953302,0.0 -96.937901,32.913712,0.0 -96.935152,32.936806,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
75007,Dallas County;Denton County,51405,13347,12748,12947,12906,13051,13000,3165,4047,3791,3483,3717,3641,39115,25874,4299,183,7167,21,51,1520,12290,9924,81,319,63,0,1133,770,18249,1396,12947,1282,9.90%,1729,1403,659,3791,201,72,204,141,11,53,252,0,144,103,56,45,525,14.00%,ZCTA5 75007,N/A,N/A,N/A,N/A,N/A,N/A,999,0,ZCTA5 75007,75007,12,5,,,0.192307692,0,13000,0,339,13000,0.026077437,169,0.046421036,475,581,0,776,651.5,483,701,611.25,412,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.939001,32.988494,0.0 -96.948349,32.993993,0.0 -96.939001,33.00334,0.0 -96.843324,33.025885,0.0 -96.843873,33.016537,0.0 -96.854871,32.987394,0.0 -96.939001,32.988494,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
75009,Collin County;Denton County,8975,2713,2488,2494,2644,2613,2590,636,735,799,714,738,724,7271,6861,168,137,14,0,0,91,1704,880,0,0,0,0,657,167,2924,142,2494,266,10.70%,383,201,215,799,44,22,37,0,0,0,53,45,32,0,0,33,164,21.00%,ZCTA5 75009,0,13,0,210,0,223,0,0.00%,ZCTA5 75009,75009,*,1,,,0.038461538,1,2590,0.000386049,97,2590,0.03744676,30,0.041415825,509,798,425.5,636,1680,788,594,775.7857143,739,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.864219,33.262879,0.0 -96.892262,33.292022,0.0 -96.806482,33.405295,0.0 -96.653618,33.401446,0.0 -96.649769,33.397047,0.0 -96.607979,33.305769,0.0 -96.73005,33.262329,0.0 -96.864219,33.262879,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
75010,Denton County,24035,5728,6078,5833,6035,5960,5927,1437,1606,1498,1572,1547,1532,20723,10059,3635,122,6308,51,0,548,3312,2226,212,0,53,0,601,220,8681,553,5833,237,4.10%,838,321,339,1498,0,24,90,0,0,0,23,0,0,71,0,29,47,3.00%,ZCTA5 75010,0,0,0,860,0,860,0,0.00%,ZCTA5 75010,75010,*,4,,,0.153846154,2,5927,0.00033745,97,5927,0.016366344,57,0.037205392,241,278,425.5,520,1657,297,598,573.7857143,365,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.939001,33.00334,0.0 -96.945049,33.029734,0.0 -96.842774,33.055028,0.0 -96.842774,33.053379,0.0 -96.843324,33.025885,0.0 -96.939001,33.00334,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
75013,Collin County,31388,0,9469,9875,10458,8696,7700,2635,3122,3049,2977,3000,2957,29248,21278,863,276,5745,16,177,893,2140,1842,48,23,42,0,51,134,10314,442,9875,237,2.40%,1417,1102,530,3049,48,0,54,12,0,0,0,10,44,53,16,0,58,2.00%,ZCTA5 75013,0,34,0,1033,0,1067,0,0.00%,ZCTA5 75013,75013,*,1,,,0.038461538,0,7700,0,93,7700,0.012078427,36,0.012176466,202,249,425.5,493,651.5,198,277,356.5714286,165,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.686611,33.075373,0.0 -96.7328,33.125412,0.0 -96.655818,33.153455,0.0 -96.658567,33.129811,0.0 -96.683861,33.080872,0.0 -96.686611,33.075373,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
75019,Dallas County;Denton County,39551,11737,11965,11727,11823,11841,11819,2311,2956,2765,2885,2802,2744,35126,25061,1745,144,7353,0,36,787,4425,3598,24,0,32,0,663,108,14056,991,11727,391,3.30%,1302,911,552,2765,58,29,11,36,11,1,72,0,79,2,59,33,159,6.00%,ZCTA5 75019,N/A,N/A,N/A,N/A,N/A,N/A,999,0,ZCTA5 75019,75019,*,1,,,0.038461538,0,11819,0,132,11819,0.011168925,66,0.024054774,225,351,0,473,651.5,215,411,387.75,183,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.935152,32.936806,0.0 -97.022031,32.943954,0.0 -97.032479,32.954952,0.0 -97.015983,32.985745,0.0 -96.94175,32.988494,0.0 -96.935152,32.936806,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
75020,Grayson County,22343,4957,5213,5219,4917,5117,5085,1351,1991,1900,1937,1869,1810,20499,17912,1560,290,87,51,154,445,1844,1085,13,0,0,0,590,156,8835,762,5265,1407,26.70%,985,528,387,1900,149,26,227,205,71,82,93,74,290,53,33,104,342,18.00%,ZCTA5 75020,0,0,22,668,22,690,0.031884058,3.20%,ZCTA5 75020,75020,50,8,,,0.307692308,3,5085,0.000590017,457,5085,0.08987931,227,0.125437984,1190,714,1044,1662,1738,1623,1547,1359.714286,1769.5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.572238,33.700576,0.0 -96.60523,33.708274,0.0 -96.64702,33.751164,0.0 -96.597532,33.874884,0.0 -96.571688,33.818798,0.0 -96.532647,33.823197,0.0 -96.532097,33.822647,0.0 -96.572238,33.700576,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
75021,Grayson County,8306,1808,1747,1808,2099,1905,1873,475,515,546,676,575,557,7773,6742,243,292,141,0,0,355,533,408,0,0,0,0,100,25,3232,238,1808,567,31.40%,300,200,46,546,93,5,23,93,11,54,115,0,60,47,24,42,213,39.00%,ZCTA5 75021,0,7,24,242,24,273,0.087912088,8.80%,ZCTA5 75021,75021,16,5,,,0.192307692,1,1873,0.000533785,164,1873,0.087540667,78,0.139947992,1353,1350,1360,1615,1733,1647,1650.5,1529.785714,1886,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-96.471611,33.685179,0.0 -96.572238,33.700576,0.0 -96.532097,33.822647,0.0 -96.448517,33.780857,0.0 -96.379233,33.72587,0.0 -96.380333,33.693427,0.0 -96.471611,33.685179,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
